groupe	formation	mode_de_formation	somme	note
A	EE	PT	24.5	3.5
A	EE	PT	43.5	5.4
A	EE	PT	39.5	5.0
A	EE	PT	21.5	3.2
A	EE	PT	26.5	3.7
A	EE	PT	15.5	2.6
A	EE	PT	36	4.6
A	EE	PT	32	4.2
A	EE	PT	39	4.9
A	EE	PT	41.5	5.2
A	EE	PT	32	4.2
A	EE	PT	29.5	4.0
A	EE	PT	45	5.5
A	EE	PT	47.5	5.8
A	EE	PT	42.5	5.3
A	EE	PT	42	5.2
A	EE	PT	33	4.3
A	EE	PT	34	4.4
A	EE	PT	41	5.1
A	EE	PT	35	4.5
A	EE	PT	39.5	5.0
A	EE	PT	30	4.0
A	EE	PT	27.5	3.8
A	EE	PT	38.5	4.9
A	EE	PT	36	4.6
A	EE	PT	30	4.0
A	EE	PT	35.5	4.6
A	EE	PT	19.5	3.0
A	EE	PT	35	4.5
A	EE	PT	40	5.0
A	EE	PT	31.5	4.2
A	EE	PT	30	4.0
A	EE	PT	26.5	3.7
B	EE	PT	42.5	5.3
B	EE	EE	23	3.3
B	EE	PT	NA	NA		
B	EE	PT	29.5	4.0
B	EE	PT	39	4.9
B	EE	PT	39	4.9
B	EE	PT	26.5	3.7
B	EE	PT	39	4.9
B	EE	PT	43.5	5.4
B	EE	PT	40.5	5.1
B	EE	PT	2	1.2
B	EE	PT	6	1.6
B	EE	PT	41	5.1
B	EE	PT	38	4.8
B	EE	PT	45	5.5
B	EE	PT	25.5	3.6
B	EE	PT	31	4.1
B	EE	PT	46	5.6
B	EE	PT	42.5	5.3
B	EE	PT	22	3.2
B	EE	PT	42.5	5.3
B	EE	PT	37.5	4.8
B	EE	PT	23.5	3.4
B	EE	PT	47	5.7
B	EE	PT	45.5	5.6
B	EE	PT	32.5	4.3
B	EE	PT	39	4.9
B	EE	PT	34.5	4.5
B	EE	PT	22.5	3.3
B	EE	EE	30	4.0
B	EE	PT	30	4.0
B	EE	PT	46	5.6
B	EE	PT	26	3.6
B	EE	PT	42	5.2
B	EE	PT	35.5	4.6
B	EE	PT	35.5	4.6
B	EE	PT	16	2.6
B	EE	PT	28.5	3.9
B	EE	PT	30.5	4.1
B	EE	PT	29.5	4.0
B	EE	PT	41.5	5.2
B	EE	PT	40	5.0
B	EE	PT	36.5	4.7
B	EE	PT	27	3.7
